Rank,Song,Artist,Streams,Days,Country,Change,Streams_Int
581,A Bar Song,Shaboozey,"82,436",578.0,CA,+5,82436
582,Dive,Olivia Dean,"81,910",79.0,AU,+1,81910
583,Undressed,Sombr,"81,859",233.0,CA,+14,81859
584,Its The Most Wonderful Time Of The Year,Andy Williams,"81,671",452.0,CA,-19,81671
585,Sex On Fire,Kings Of Leon,"81,629",1761.0,AU,+13,81629
586,Just Keep Watching,Tate Mcrae,"81,165",165.0,CA,+15,81165
587,12 To 12,Sombr,"80,873",106.0,CA,+15,80873
588,Lose Control,Teddy Swims,"80,796",771.0,CA,+4,80796
589,Dracula,Tame Impala,"80,702",46.0,CA,+20,80702
590,Tit For Tat,Tate Mcrae,"80,696",46.0,CA,+14,80696
591,Sports Car,Tate Mcrae,"80,471",292.0,AU,+11,80471
592,Feel Good Inc,Gorillaz,"80,029",623.0,AU,+14,80029
593,What It Sounds Like,Huntr/X,"79,874",141.0,CA,-12,79874
594,Let Alone The One You Love,Olivia Dean,"79,838",46.0,AU,+2,79838
595,Mr Brightside,The Killers,"79,757",1951.0,CA,+2,79757
596,Sweater Weather,The Neighbourhood,"79,626",1829.0,AU,+4,79626
597,How Its Done,Huntr/X,"79,406",141.0,CA,-15,79406
598,Sailor Song,Gigi Perez,"79,206",468.0,AU,+2,79206
599,Thats So True,Gracie Abrams,"79,151",389.0,AU,-5,79151
600,Snowman,Sia,"78,849",260.0,CA,-22,78849
601,All The Stars,Kendrick Lamar,"78,642",1463.0,AU,-3,78642
602,Talk Of The Town,Fred Again..,"78,521",7.0,AU,+53,78521
603,A Couple Minutes,Olivia Dean,"78,213",40.0,AU,+1,78213
604,The Life Of A Showgirl,Taylor Swift,"78,111",39.0,CA,+1,78111
605,Pink Pony Club,Chappell Roan,"78,081",506.0,CA,-7,78081
606,Every Breath You Take,The Police,"78,045",633.0,AU,-7,78045
607,Tears,Sabrina Carpenter,"78,011",74.0,CA,+19,78011
608,Free,Rumi,"77,371",141.0,AU,-15,77371
609,Scar Tissue,Red Hot Chili Peppers,"77,333",402.0,AU,+2,77333
610,Something In The Orange,Zach Bryan,"77,245",1284.0,CA,+14,77245
611,Birds Of A Feather,Billie Eilish,"77,010",543.0,CA,-4,77010
612,Folded,Kehlani,"76,963",150.0,AU,+12,76963
613,Sparks,Coldplay,"76,895",364.0,CA,+14,76895
614,When Did You Get Hot,Sabrina Carpenter,"76,052",74.0,CA,+12,76052
615,Wih Lit,Taylor Swift,"75,303",39.0,AU,-8,75303
616,The Hardest Part,Olivia Dean,"75,027",79.0,AU,+3,75027
617,Takedown,Huntr/X,"74,951",140.0,AU,-22,74951
618,The Days,Chrystal,"74,933",336.0,AU,+9,74933
619,What I Want,Morgan Wallen,"74,407",179.0,AU,+6,74407
620,Timeless,The Weeknd,"74,181",410.0,CA,+6,74181
621,Wood,Taylor Swift,"74,019",39.0,AU,-8,74019
622,Holly Jolly Christmas,Michael Bublé,"73,891",443.0,CA,-33,73891
623,I Had Some Help,Post Malone,"73,585",551.0,AU,-11,73585
624,Wih Lit,Taylor Swift,"72,909",39.0,CA,+2,72909
625,I Had Some Help,Post Malone,"72,792",550.0,CA,+2,72792
626,Die With A Smile,Lady Gaga,"72,535",452.0,CA,-3,72535
627,Creep,Radiohead,"72,211",401.0,CA,+10,72211
628,Sweet Disposition,The Temper Trap,"72,145",579.0,AU,+2,72145
629,Mystical Magical,Benson Boone,"72,115",200.0,AU,-2,72115
630,Promiscuous,Nelly Furtado,"71,958",1384.0,AU,+6,71958
631,Let It Snow Let It Snow Let It Snow,Dean Martin,"71,834",307.0,CA,-39,71834
632,Teenage Dirtbag,Wheatus,"71,822",264.0,AU,-3,71822
633,Desire,Ian Asher,"71,518",61.0,AU,+38,71518
634,Eternity,Alex Warren,"71,425",116.0,AU,+2,71425
635,Actually Romantic,Taylor Swift,"71,265",39.0,AU,-10,71265
636,Good Luck Babe,Chappell Roan,"71,138",577.0,AU,-9,71138
637,The Christmas Song,Nat King Cole,"70,994",319.0,CA,-32,70994
638,Com N Go,Yeat,"70,358",36.0,CA,+18,70358
639,Cant Stop,Red Hot Chili Peppers,"69,962",474.0,AU,+22,69962
640,Messy,Lola Young,"69,832",358.0,AU,-15,69832
641,Sports Car,Tate Mcrae,"69,784",291.0,CA,+8,69784
642,Yellow,Coldplay,"69,630",1081.0,CA,+18,69630
643,Sailor Song,Gigi Perez,"69,602",464.0,CA,+9,69602
644,Yellow,Coldplay,"69,591",1733.0,AU,+21,69591
645,Actually Romantic,Taylor Swift,"69,412",39.0,CA,+1,69412
646,The Door,Teddy Swims,"69,398",489.0,AU,-5,69398
647,Travelin Soldier,Cody Johnson,"68,325",4.0,CA,+12,68325
648,Apt,Rosé,"68,227",389.0,AU,-11,68227
649,Free,Rumi,"68,093",141.0,CA,-17,68093
650,Creep,Radiohead,"68,060",233.0,AU,+6,68060
651,Mistletoe,Justin Bieber,"67,666",449.0,CA,-30,67666
652,Lady Lady,Olivia Dean,"67,587",50.0,AU,-5,67587
653,Revolving Door,Tate Mcrae,"67,485",253.0,AU,+22,67485
654,Wood,Taylor Swift,"67,196",39.0,CA,0,67196
655,Ive Seen It,Olivia Dean,"67,150",33.0,AU,0,67150
656,Bad Dreams,Teddy Swims,"67,149",407.0,AU,-7,67149
657,Everywhere,Fleetwood Mac,"67,100",1201.0,AU,0,67100
658,Raindance,Dave,"67,098",18.0,AU,+29,67098
659,How To Save A Life,The Fray,"67,050",337.0,AU,+18,67050
660,Riptide,Vance Joy,"66,902",2744.0,CA,-8,66902
661,The Chain,Fleetwood Mac,"66,748",285.0,CA,+3,66748
662,Phantom,Esdeekid,"66,536",25.0,AU,+24,66536
663,Diet Pepsi,Addison Rae,"66,425",425.0,AU,+10,66425
664,Cancelled,Taylor Swift,"65,603",39.0,AU,-12,65603
665,Counting Stars,Onerepublic,"65,377",2120.0,AU,-7,65377
666,No Pole,Don Toliver,"65,295",357.0,CA,+4,65295
667,Choosin Texas,Ella Langley,"65,238",25.0,CA,+10,65238
668,Luther,Kendrick Lamar,"65,141",354.0,AU,+4,65141
669,Cancelled,Taylor Swift,"65,122",39.0,CA,-2,65122
670,In The End,Linkin Park,"64,907",502.0,AU,+34,64907
671,The Night We Met,Lord Huron,"64,808",1231.0,AU,+19,64808
672,Walking On A Dream,Empire Of The Sun,"64,679",1146.0,AU,-5,64679
673,Takedown,Huntr/X,"64,253",140.0,CA,-27,64253
674,Im The Problem,Morgan Wallen,"63,213",284.0,CA,+10,63213
675,Worst Way,Riley Green,"63,101",316.0,CA,+11,63101
676,Every Breath You Take,The Police,"62,796",520.0,CA,-3,62796
